url,url_length,has_at,has_dash,uses_https,num_dots,label
https://velwjqtpipulr.net,25,0,0,1,1,0
http://www.wziwistc.net,23,0,0,0,2,0
http://www.qlklwuobjjclkil.com,30,0,0,0,2,0
https://zpanqdywfm.org,22,0,0,1,1,0
https://qjqojiacpq-57.net,25,0,1,1,1,1
https://qqmonrfdxok-14.in/024z370y89,36,0,1,1,1,1
https://www.mjauhjhcqqwvj.net,29,0,0,1,2,0
https://djrohawwixbste.org,26,0,0,1,1,0
http://qdophpoc.in,18,0,0,0,1,1
http://cohehnvyf.org,20,0,0,0,1,0
http://rmteuwn@malicious.net/13404y5yx6,39,1,0,0,1,1
http://eenjgna.net,18,0,0,0,1,0
https://hhvppvbz.org,20,0,0,1,1,0
https://www.acmxc.org,21,0,0,1,2,0
https://www.zbulrwtkffeo.com,28,0,0,1,2,0
https://sdwjruwgqp.in,21,0,0,1,1,0
https://ysbrqdcw.in,19,0,0,1,1,0
https://kkakbjyro-68.com,24,0,1,1,1,1
http://drdfpfhertpgpb@malicious.in,34,1,0,0,1,1
http://fvazhkmllgnsw@malicious.net,34,1,0,0,1,1
http://gcyumrxp.in,18,0,0,0,1,1
http://kgkofxggxi.net,21,0,0,0,1,0
https://zbsuvldfb-85@malicious.net/x5z8z2y270,45,1,1,1,1,1
https://www.wfditejtqh.net,26,0,0,1,2,0
https://rksqhi.org,18,0,0,1,1,0
https://vhkixrcvvekpnz.com/49x923058x,37,0,0,1,1,1
http://pijajorfuc.net/334360y4zz,32,0,0,0,1,1
https://zyesljomhulai-98.in,27,0,1,1,1,1
https://rczdhnednwvnmfz-51.in/4079580665,40,0,1,1,1,1
http://www.lghitrwgyjndkv.com,29,0,0,0,2,0
https://www.dbzysusvbfepyc.net,30,0,0,1,2,0
https://decsplyxmnu@malicious.com/915z226xx9,44,1,0,1,1,1
https://oklxgzxfzhv.com,23,0,0,1,1,0
https://xzbmwyengh.net,22,0,0,1,1,1
http://xkknfxkogwebri-67.net/2046198397,39,0,1,0,1,1
http://sqmqhlusrayox@malicious.com/7091437x40,45,1,0,0,1,1
http://kxfza-22.net/573849209y,30,0,1,0,1,1
http://utbxwpou-56@malicious.in/0x68799868,42,1,1,0,1,1
https://zfnfjf.net,18,0,0,1,1,0
http://jkwwhiocndodfhg.in/684836136x,36,0,0,0,1,1
https://fzvxrud-17@malicious.com,32,1,1,1,1,1
https://www.qqqfofg.net,23,0,0,1,2,0
http://uzatbvmdkmtmhyq.com,26,0,0,0,1,0
http://www.wpkfl.in,19,0,0,0,2,0
http://guvpbwrohh.in,20,0,0,0,1,0
http://kshksafqeoagc-13.org/52x985834z,38,0,1,0,1,1
https://tukgfiqftyqkh.com,25,0,0,1,1,0
http://lpntfgcyjqcuv.in,23,0,0,0,1,1
http://pbmutghcdsk.net,22,0,0,0,1,1
http://www.jokpdv.com,21,0,0,0,2,0
http://www.crynfhlttvai.com,27,0,0,0,2,0
http://dgepyrotukxdu.net,24,0,0,0,1,0
http://www.mcjodk.org,21,0,0,0,2,0
https://lqrpqpr-62.in/5y9x677086,32,0,1,1,1,1
https://qoluvnlomznp@malicious.net,34,1,0,1,1,1
https://ockpfvorbjm@malicious.in/z5183y3962,43,1,0,1,1,1
http://qxauihebjxiaxl.net,25,0,0,0,1,0
http://llsvgwdrj@malicious.net,30,1,0,0,1,1
http://yufkfmsligjgmx.in,24,0,0,0,1,1
https://ffqovtlzkhta-77.com/0x9x4y168y,38,0,1,1,1,1
https://ywzblms@malicious.net,29,1,0,1,1,1
https://lienhs.com,18,0,0,1,1,0
http://hszdze.org,17,0,0,0,1,0
http://pmszwloxdts-76@malicious.com,35,1,1,0,1,1
https://www.viinkybxwoa.in,26,0,0,1,2,0
http://hhadtgcwjjpfrq.org,25,0,0,0,1,1
https://tfael@malicious.net,27,1,0,1,1,1
https://qsgbuksmoqnwrfr@malicious.com,37,1,0,1,1,1
http://tzoquh.org,17,0,0,0,1,0
http://zhbsiktnk-13.com,23,0,1,0,1,1
https://qspxn.net,17,0,0,1,1,1
https://bsdihopf.com,20,0,0,1,1,0
http://ardithdxgjh.com,22,0,0,0,1,0
http://lxqkvlmrnoie.org,23,0,0,0,1,1
https://jnsfsop.org,19,0,0,1,1,0
https://uqwydncshdxsrv@malicious.com,36,1,0,1,1,1
http://gmxlvqihedrv.net,23,0,0,0,1,1
https://tqaowfdlu-00.com,24,0,1,1,1,1
https://kaxylwzwueqhg.org,25,0,0,1,1,0
http://aotkbbwztsn.com,22,0,0,0,1,1
https://cdniaaewh.org,21,0,0,1,1,0
http://ymfuboy.in,17,0,0,0,1,1
http://www.yywzq.org,20,0,0,0,2,0
https://www.owmlix.net,22,0,0,1,2,0
http://jotfdnpcin.net,21,0,0,0,1,1
http://jsgursdpw@malicious.in,29,1,0,0,1,1
https://pcmvqrkji@malicious.net/086y176983,42,1,0,1,1,1
https://yedewwmxgvw-88.org,26,0,1,1,1,1
http://iziwiyl.in,17,0,0,0,1,0
https://doqkjvjjjfx.net,23,0,0,1,1,0
http://www.rbmtaxepth.com,25,0,0,0,2,0
https://ulmxdwwkiefespb@malicious.org/zxz298z082,48,1,0,1,1,1
https://qibaxvufjuimh.net,25,0,0,1,1,0
https://zplscrxnfcsfvy.net,26,0,0,1,1,0
http://ykvwvjsrm.com,20,0,0,0,1,1
https://www.ytjxdsrfowocn.net,29,0,0,1,2,0
https://www.aetgwa.net,22,0,0,1,2,0
http://ljgicmam@malicious.in,28,1,0,0,1,1
http://xfwhsdycc-42.org,23,0,1,0,1,1
http://kqlzqmszmm.org,21,0,0,0,1,1
https://gurwd-32@malicious.in/4573295168,40,1,1,1,1,1
http://ggiaul-14@malicious.net,30,1,1,0,1,1
http://fpgutqhpsrpv.com,23,0,0,0,1,0
https://kjfexrwy-09.in,22,0,1,1,1,1
http://secqh.org,16,0,0,0,1,0
https://ozehnjfwtv.com,22,0,0,1,1,1
http://qhczvtaqql.in,20,0,0,0,1,0
https://gmgnbikjsecoess.net,27,0,0,1,1,0
http://joeqgdungvc.com,22,0,0,0,1,0
http://cfgfkovyx.com,20,0,0,0,1,0
https://csfpz-95@malicious.net/zy2z015408,41,1,1,1,1,1
https://oiowyeqbqk.net,22,0,0,1,1,1
http://www.wogvvtmgfuqwgf.com,29,0,0,0,2,0
https://ttoytlxytnsmgq.com,26,0,0,1,1,1
http://swsietntjkjjx.net,24,0,0,0,1,0
http://www.xsjatskjqmerib.net,29,0,0,0,2,0
https://msivctfz.net,20,0,0,1,1,0
https://evuwlnn.in,18,0,0,1,1,0
http://cimtkaeiwfmjdr.com,25,0,0,0,1,0
http://itlpybnfaqbj@malicious.org/7230zz2480,44,1,0,0,1,1
https://sobivcrwlneh-57.org/832297896x,38,0,1,1,1,1
https://hhtfti.org,18,0,0,1,1,0
http://jdxqkseviutiikn-95@malicious.net,39,1,1,0,1,1
http://yumanrhnber.in,21,0,0,0,1,0
https://ghynawbfwj.in,21,0,0,1,1,0
http://qxfqlkgi.org,19,0,0,0,1,0
https://snjjsfd-44.com/60880x507z,33,0,1,1,1,1
https://mmzjadpe@malicious.org,30,1,0,1,1,1
http://dczzbnhcvt.net,21,0,0,0,1,0
http://jkchiksyw-34@malicious.in,32,1,1,0,1,1
http://fomijwdoczdkzgy-19@malicious.net,39,1,1,0,1,1
http://xdzvfkloa.org,20,0,0,0,1,1
https://www.oardiner.in,23,0,0,1,2,0
http://ftnlcajzhgbyokf-41.net,29,0,1,0,1,1
http://htecdwcbmqnhcq.in,24,0,0,0,1,0
http://www.symqmfvmejhaitg.org,30,0,0,0,2,0
https://qomsgauxqblcm.com,25,0,0,1,1,1
https://www.komfvacbspncqmu.in,30,0,0,1,2,0
https://ywbeuxvpty.org,22,0,0,1,1,1
https://swffyxqvzly-97@malicious.org/2687y97501,47,1,1,1,1,1
https://www.xittxocqa.org,25,0,0,1,2,0
http://aeltpjchud-95@malicious.com,34,1,1,0,1,1
https://acmgqtinh@malicious.org,31,1,0,1,1,1
http://sdmbqmuunprw.in,22,0,0,0,1,0
https://www.imrzeyfv.net,24,0,0,1,2,0
https://zgkewkrf-07.com/8198z79081,34,0,1,1,1,1
http://xnety-26@malicious.in,28,1,1,0,1,1
https://yhontwf@malicious.org,29,1,0,1,1,1
http://www.mgsqg.in,19,0,0,0,2,0
https://xmmdxcjf.org,20,0,0,1,1,0
https://nelzlohhcquyevv.in,26,0,0,1,1,0
http://zouvobigfi.net,21,0,0,0,1,1
https://cfbmopo.org,19,0,0,1,1,0
http://iamvtxjje-91@malicious.in/18x0y4x719,43,1,1,0,1,1
https://lzvokycqgf.org,22,0,0,1,1,0
http://uydynn@malicious.in,26,1,0,0,1,1
https://eyheojlog.in,20,0,0,1,1,0
https://uapuorbtf.net,21,0,0,1,1,0
http://bktrueksftzkbgv.in,25,0,0,0,1,0
http://yxfnugswpiubkbx-38@malicious.com,39,1,1,0,1,1
https://www.wxpfygfvwwvy.in,27,0,0,1,2,0
https://noxqn.com,17,0,0,1,1,0
https://pznixjixcgbvxzo.in,26,0,0,1,1,0
https://hwtzwqhi.in,19,0,0,1,1,0
http://hdqzphfjss.org,21,0,0,0,1,1
https://qyono-05@malicious.com,30,1,1,1,1,1
https://vzweepfx.com,20,0,0,1,1,0
http://swqyouxvozarkcc.net,26,0,0,0,1,0
https://www.lnadimwipc.in,25,0,0,1,2,0
http://njwnovrgyrx@malicious.com/8934496801,43,1,0,0,1,1
http://www.yzdjtrviufsw.com,27,0,0,0,2,0
https://ytzwghqbxq-07.org/2x96938878,36,0,1,1,1,1
http://dyuasd@malicious.in/8807844y55,37,1,0,0,1,1
http://nwxynwkfgrmrgvr@malicious.net,36,1,0,0,1,1
http://nhikqgejani.com,22,0,0,0,1,0
https://qvjjanql.in,19,0,0,1,1,1
http://ljahq@malicious.in,25,1,0,0,1,1
http://gelgbgzrsbjexxj.net,26,0,0,0,1,0
http://fwwvvgk-12.com/537z3zzyxy,32,0,1,0,1,1
http://wmsvwuff.in,18,0,0,0,1,1
https://lnbcrykphkz.org,23,0,0,1,1,0
https://www.tinaswem.org,24,0,0,1,2,0
http://qocvnbd.in,17,0,0,0,1,0
http://www.goyivekenow.in,25,0,0,0,2,0
https://www.fnqslrdhr.org,25,0,0,1,2,0
https://xgxzmumblwejzzk@malicious.net/8z64z7757z,48,1,0,1,1,1
https://vmgpujlxuaehori.org/73yz09z988,38,0,0,1,1,1
http://tibvtzhqjmlc-57.org,26,0,1,0,1,1
https://gsqsqvqwul.com/z5x041x41x,33,0,0,1,1,1
https://aicnbu-93@malicious.org,31,1,1,1,1,1
https://sgoyes.com,18,0,0,1,1,0
http://irroxgickx-06@malicious.com/286243739z,45,1,1,0,1,1
https://chdtedcoabvbrl.net,26,0,0,1,1,0
http://vtxuoobwcdjjp.in/3869x06019,34,0,0,0,1,1
https://meyzn.com/052z115801,28,0,0,1,1,1
http://kyeaxrcjznekuak-94@malicious.net,39,1,1,0,1,1
http://unrybph-05.com/1387y2y98z,32,0,1,0,1,1
http://jnsoprjrar-27.com/4z4y0y1x65,35,0,1,0,1,1
https://jrcggaffk.org,21,0,0,1,1,0
https://ewtynminqkzr.com,24,0,0,1,1,0
http://ytemeqhsmuyl.com,23,0,0,0,1,0
http://www.mdrlscg.com,22,0,0,0,2,0
http://surqupbhrm.org,21,0,0,0,1,0
https://uzssqodtbj.org,22,0,0,1,1,0
https://tiisb.net,17,0,0,1,1,0
https://awzvnuxxklhjw.com,25,0,0,1,1,1
https://mlxbbuanomd-80.in,25,0,1,1,1,1
http://lihxvqqwuinqfjc-63.net,29,0,1,0,1,1
http://taazv.in,15,0,0,0,1,0
http://mlghiwxsboigsf.com,25,0,0,0,1,0
https://vhwqkr-12.in/8x86z15578,31,0,1,1,1,1
http://ypilqssshqbpq.in,23,0,0,0,1,0
https://soqgoqzepg.com,22,0,0,1,1,0
http://zxeebwdztgdi.com,23,0,0,0,1,1
http://rwsrmeskgawzr.net,24,0,0,0,1,0
http://dvooddghzm-46.com/5803yy6xz4,35,0,1,0,1,1
https://lhfwmrvy.net/87559x757x,31,0,0,1,1,1
http://mmbzholwyb.net,21,0,0,0,1,0
https://mhdxxzy.in,18,0,0,1,1,0
https://fgmgabwscz-48.org/2y5zy03yy7,36,0,1,1,1,1
https://opqmofwkcay.org/38852z1305,34,0,0,1,1,1
http://gkkafurlarcivgi.net,26,0,0,0,1,1
https://snjjrxbcyo.com,22,0,0,1,1,1
https://www.jxxrbbmzzuojx.net,29,0,0,1,2,0
https://jerkdwtxl-99.net/8814583399,35,0,1,1,1,1
https://fsexawgdrdypk.com,25,0,0,1,1,0
http://dfwvie.in,16,0,0,0,1,0
https://jttlyaz-05.net/189y8z1707,33,0,1,1,1,1
http://wvahfof.net,18,0,0,0,1,0
